,tweet,label
0,loku u navela ku tissunga tissungue,0
1,aha auxeni ti nguavani,0
2,hahahahaha ih tipo arrombaram o nhoster  ,0
3,hiiiii ni livrarih ,0
4,oh hosi yanga ,0
5,eeeeh a nsati lwei a banana maj,0
6,mu nga ni landzi na loya,0
7,a ta ti nhela,0
8,wa ni danissa  ,0
9,u gama u kuma  valores ,0
10,ihhhhhhhhhhh a chirami ka lomuu,0
11,ento ungah ni trapalhari wena pah,0
12,hahahah swa nsila s  ,0
13,famba ni ma range ya wena ,0
14,a xilungu xakarata ,0
15,famba ti gumula hi parede,0
16,u bihile demais lokhu ulangunta hansi a xikwembo swo kubha i mazwidji ,0
17,yuh mam a ni ku lavi mina,0
18,i tinholuene a xwi dari ,0
19,wa hlanha lweyi,0
20,ki est a criar um vuku vuku grande sabe,0
21,messi wa nhine ,0
22,hosi yanga ,0
23,uta ni dhlaya,0
24,xitomb xa wuako ,0
25,ih ni livrari yu ,0
26,ho hi danissa wena wananga ,0
27,wuaa swa ma supera patrick ani tendere,0
28,hi tafa hi ndlala,0
29,namuntlha nada baiye a xirhame ci demanji,0
30,suka xtapora niti dlela male ya mina  toh ta falar noh ti dlela male yah mina ,0
31,hambi uku nh  um dia uta sunguna ku phuza na mesma,0
32,swi mbeni mas vale u mielaaaaaaaa,0
33,famba uya ti fassa ,0
34,pimissa nhana u tsika madururo,0
35,barcelona  loko ni file mungane rilane,0
36,swa yentxeka no t nada nice ,0
37,hahahahaha hadjakufa lweyi  provocar overdose isso  ,0
38,swimbenhane wa dja ku ni hembissa ja ,0
39,aha swa mbangue tsala swi mbeni hloko ya pao,0
40,nawene tem que o tsika madururo u pimissa nhana,0
41,ova na vuntswaka lowa nhloko,0
42,yuh v djula ku ih hlongola ka tiku ledzi ih dhlawileh ,0
43,u ku um dois u mu ba ka xifuva a fa inah swa djuleka ,0
44,hosi yanga  ,0
45,wali wa dula  ,0
46,unga hi nhenhentsi wena,0
47,a nguenile matilwene,0
48,ikhali mina ni zunga waku djokuni tolovela  sg,0
49,vha ta dlaya,0
50,swa kharata mpela khambi funtsi a ih swi tsiki ,0
51,u la kuta ka mina ungati na usiku u zama zama kuni phazamisa  u la ku nivuyisela a gono ni meticali,0
52,a xizame da kwapa mesmo ,0
53,mas khasi a u teke nsati hi maka muni,0
54,famba ti kundza invejosa  ,0
55,ceh ina ka i para hi ku yini ,0
56,ka hissa kola missavene ,0
57,hi maka ruy ,0
58,swimbenhane vata hi rhivalela mas ava futseke,0
59,uku ni dzo ,0
60,hi ku pfinha va hi sola,0
61,why uni lembrara lexwu  wena wa kazata,0
62,va khu ndzaveta u va khuma la ,0
63,ani madururu npfana lweyi,0
64,a xwi chegui ka  ,0
65,yu  tindzava  tsika mbangui mpfana e nita ku desprogramara,0
66,himpela wo nhimela nkama wa ko u fika yena a poronto ni mu fundile bem mas wa karhata nhana,0
67,famba u ya ti gunha hi parede,0
68,swa mbangue ni ma cigarri  ,0
69,u tsama u ui vona a mbongolo yi nga xidjana  ih leyi lani  ,0
70,tili luweme nase a mulungu otisunga,0
71,unga ni lhanhele mina,0
