,tweet,label
0,hhhhhh ntabyihogoza ubu x abo yishe bangana ik,0
1,amahano ni impanuka inkangu inzara muyite izina rikwiye,0
2,ese umuntu aguhaye miliyoni  zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera,0
3,ugira amagambo kandi ubwo wasanga nawe byagutabara jya uvuga uziga ,0
4,ukuntu inama zose zikomeye zirikubera mu rwanda ubanza numusi wimperuka uzabera kigali ,0
5,very sad umwana wukwezi  koko nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe ntamuntu muzima wakora aya mahano ,0
6,azajya kwiga aho babyemera muvandi  ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi,0
7,ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye,0
8,iminsi yo yimurekere iramubona bitinde bitebuke izamufatanya nisi bimukarange ,0
9,ntabwo abeshya ahubwo ararembye kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i ndera kwiberayo ubuzima bwe bwose,0
10,mf iziko yasibye ep ya  kuri youtube nizibeshye go ikadagire muri kkblock seriously rwanda,0
11,ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye,0
12,nkubu  nibiki mudukoreye koko ibaze kuba twese dutegereje ijambo umukuruw agiye kugeza kubanyagihugu tukabona umuriro ngo baaa ,0
13,ubaye urumukobwa ufite million  munzu umujura akinjira akagusaba ko mwakora sex cg gutwara ayo amafaranga wahitamo iki,0
14,bakwirwe imishwaro abicanyi bihishe mu bufaransa nahandi ibigarasha namwe mubakurikire mudakoza ibirenge hasi ,0
15,birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura,0
16,uyu mukobwa ari kuvuga ngo mubwire niba naramuciye inyuma kuri diane ntabwo azi ko ibyisi aramabanga ,0
17,nta hene ikura ngo ibe inka,0
18,wibukeko iyo umubyeyi atagira isoni zibyo akorera kukarubanda numwanawe ntabwo yamubuza kwiyandarika abaruwanyina nyine,0
19,kubona aba followers hano bigoye kurusha uko wabona imbwa y umutuku cg amahoro muri rayon sport ,0
20,iyo nama ugiriye basile nta kuntu wabanza kuyubahiriza nawe ubwawe ukagerageza kumva ibyo avuze ibyo udashaka kumva mwirirwe,0
21,mu batanteye agahinda ni bariya iyo umuntu ahisemo nabi arangiza nabi nyine ,0
22,uriya mukobwa  ikibazo afite gikomeye cyane ni igwingira ryo mu mutwe,0
23,kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe,0
24,nteye akajisho kurukiko rwubujurire muri comments hariyo abantu wagirango ni abahano kumihanda  gusa taifa na karenzi ngo bazakora ejo ,0
25,nimyaka yose umaze waranze kubikora ,0
26,cyakoza abakire mubaho neza ibaze abantu bagire ubute bwo kujya kunnya hanze bakannya munzu  murakaze ntimumputaze nihitiraga,0
27,nawe yabuze icyo yimarira ahitamo kwangara wumva hari undi yagira icyo america kweli wapi ,0
28,narumiwe ubwo umaze kurya milliards zingahe,0
29,umuyobozi nshaka rapport yabapfakazi mu kagari uyobora kanyana abapfa mukagari nyobora ni ,0
30,ubwo c woe umuntu uryama nta musego akamara umwaka wose ijosi ari rizima urumva aba yoroshye mn,0
31,sinkuza umusatsi ndetse mu mutwe mu mutwe niho bipfira nigga si kumutwe batazagirango       nyamirambo ,0
32,ukumva girlfriend arakubwiye ngo niwohereza ushyireho ayo gukata dear ladies mutubabarire kbx ,0
33,nubwo imana igira inzira zirenze  iyo ntayirimo,0
34,uko imana igenda itinda mbona izacyura ubusa     ,0
35,arko buriya abantu  babyutse bakora unfollow niki babyutse banywa  ego baba ,0
36,mbateze iminsi ye urabeshyera ubusa mwe muzareke gupfa ibindi byo nzababona,0
37,nyuma yo kunkwera mu gisimenti yibagiwe password  ,0
38,ese niki giha uburenganzira  gukura amafaranga kuri konti yumuntu uko bishakiye igihe bashakiye rwot,0
39,ibitagira abakuru birumba ari indaru indaro ariko kandi igihugu kiramutse kidafite abato bacyo cyakwizera kurimbuka vuba bidashidikanywaho,0
40,bati gahunda ni gukemura ikibazo cyubushomeri mu rubyiruko ese ubushomeri buri mu rubyiruko gusa cg hari nabakuze babuze imirimo     ,0
41,aha ntacyo yabona yirangayeho,0
42,ese nk abantu bareba tweet yawe ntibanaguhe like  ibu ari amafaranga ibatse yo bayaguha,0
43,chry yayanyatse ngo ntayasesagura ngo ubwo ntangiye kuyarata ngo yagiye,0
44,uravuze ngo ibya kovidi kubyumva bisaba kwitandukanya nubwenge,0
45,niba unyanga uriguta umwanyakereka amafaranga anyanzeahhooo naborogaaaaaa,0
46,erega nawe twamufashe nabi cyane tumushyira inyuma ya ferabeto,0
47,yego nkufata uko utari kbs kuko nkufata nk umukobwa,0
48,iki nicyo gituma mwitwa gahuza miryango  cg nibwo budasa bwa bbc  mukomeje gusenya benshi aho kubahuza intego yarahindutse murananiwe ,0
49,komperuka ariho wavukiye se ababyeyi bawe banze kwishyura imisoro ngo babazanire ibikorwa remezo ,0
50,wa nkozi y ibibi we umwanzi w imana,0
51,ariko narumiwe koko ubonye avi yange uhita umpa  umaze kumenya ko ari ngewe uhita umanura ndumiwe koko,0
52,bisanzwe bizwi nubundi ko ferwafa ikora nabi wagira ngoyo na reb biba biri kurushanwa,0
53,sinatereta umukobwa utazi gutandukanya gutandukanya ibihekane nt na nd,0
54,kwirarira ni bibi man,0
55,mivow by views ariko still gahunda ni ntakudohoka views ni ubusa shaaaa         ,0
56,harimo ubugome bukabije ni uko utabonye igiti ajya azirikiraho abantu nakibonye muri tweet ya  ndumirwa,0
57,negg arahacanye haraka pfla yarankanze mpita mutinyankubise misire hasi kandi ntacyo bari buntware reba hano ikiganiro cyose ,0
58,abanyarwanda bataye umuco wo kutareba ibitabareba none basigaye batekereza nibitabareba ahaaaaa ,0
59,yarangiza ngo ni mutimucyeye apuuuu,0
60,simbonax arihamwe mugikari cyabo  ahubwo ayo maso yae agenda areba hejuru ,0
61,ariko ngo ntakintu kiryoha nka morning sex aba bikoze badusangize kur experience ,0
62,ni nko guterwa nimbeba ugacirira urukwavu ngo ruzikwirukanire mu nzu,0
63,nonex nawe uradutengushye ,0
64,cyaze kabisa abasenzi barakubeshya ugashiduka shwiii bagukozemo akazi ako ubu narabamenye,0
65,les jurons que jai encaiss last night  iyo ibitutsi biba byica mba napfuye nkazuka nkongera ngapfa ,0
66,arkox inkoko izsrwana ninkoko nimurangiza muvugengo iyo nkoko irarenze mwage mureka kureba hafi koko mukareba kure,0
67,umuvandimwe aho bukera araza kurwara akadege,0
68,nawe ba umwiyahuzi ntacyo,0
69,muge mureka kuvuga ubusa nyirubwite yivugiye uburyo abana be bize woe ubivuguruza uri nkande ibinyoma nibyo muzi gusa,0
70,nonese nimba amazi amaze ibyumweru  ataza ubu koko ayo koga yavahe,0
71,ark abakobwa bakunda cash narindikumwe na chr ikijyama kimukubita aka message ka momo none ahise ambazango nitwande sha,0
72,uwo musaza ra ko numva uwamwegereza abafeminists bamukurugutura,0
73,kubera kureba cyne ibibazo byisi ijisho ryaracuramye ndaq,0
74,mwaramutse neza mudufashe ko turimo gukatwa amafaranga igihe nkuye amafaranga kuri momo nyashyira kuri konte bimeze bite ko bidasobanutse,0
75,harigihe wibwira ko uri gutwika nyamara uri gushiririza ,0
76,my a good fool advice buy harlotindaya nisawa izaguha byose umugera na sida,0
77,gusondeka mumyubakire ya wassac mugihe cyumunsi umwe kko ,0
78,biracyenewe cyane ko hagira igikorwa kugihombo dukomeza guterwa nimikorere idahwitse ya  birakabije kubera iki ntacyo mubikoraho ,0
79,mbyutse numva umunwa uri kurya mwa bantu mwe ndumva nawukwedurira kubantu,0
80,man uzi ko naringiye kumwitexa mwohereza imitomo ama sms kumbi nuko narinshonje gusa,0
81,ahaa hari abantu iyo batabanje kwifata ku gahanga batandika ngo baba bashaka guha umuntu ibye tugire tuti sigaho,0
82,arazireba gusa ni umukunzi wa messi i mean nikimwe nkabandi bazi ko the world revolves around messi,0
83,youtubers content noneho  namenya ibyo ababahungu bamukoreye arava mu iyangaza makuru  ,0
84,cyakoza harinabantu badakunda bagenzi bababo reba ukuntu uyumushinwa akubita umunyarwanda mugenziwe areba rukara yari intwari peee ,0
85,njyewe yamfashije kwica gahunda yo kwiga,0
86,wa mugabo yatugarutsemo ndaq ,0
87,sukwirata pe gusa iyo bampamagaje android nkavugira kuri phone umwanya munini bintera allergie zo kunuka mukwaha  ,0
88,ninshingano zumugabo kugaburira no gutanga umugorewe kubera ko ubwo umugore aheruka kugaburira umugabo twahise twirukanwa muri edeni           ,0
89,ni ukuri ikirunga cya nyiragongo kiri kuruka,0
90,nahita niha akazi mu kigo runaka ariko gikaze kajyanye na carrier ngahita negura ibaze urwego rwubushomeri ndiho,0
91,yigize igisambo ku ngufu kand izo yibye zigira likes  gusa,0
92,ari ukuhira igiti m mvura n kwinyarira m mvura ubusazi cyane n ubuhe ur opinions plz,0
93,ese kubera iki wumva wakwishimira kurya ibitaribyawe nkaho nyirabyo atakiriho nabe bose bashizeho pole murindahabi irene,0
94,hari igihe uzarara hanze uziko ari za blagues,0
95,ni ikibazo  mu kiganiro twaherutse kugirana batubwiye ko ibi byose bigenzurwa abatabyubahiriza bigenda bite aba bantu bitabweho pe ,0
96,umwana wumushi niviriye mugihano twitter yari yampaye kubera ubuhone none nje mbona umusore wigikuri all over  nibikibijya mbere   ,0
97,mfite ubwoba ko murugo nihafatwa ninkongi yumuriro nka vugango murugo harahiye  abantu bazansubiza ngo hadashya se ,0
98,ni igitekerezo namuhaga man  cga atangire anywa amazi ya battery,0
99,nuwuhe mu mukobwa wahano mubona ushaje tumurangire umugabo kandi wumukire utazi gutereta wumve ngo mfite sure deal  irenze,0
100,ariko akokanu ngo inyebebe unyujijemo sisawa wangu,0
101,wisanga buriwese agutuka then nawe ukumva ko warengereye,0
102,uyu mwana numuhanaga ariko yumva nabi mbanze behavior zero all terms ,0
